Audio,ground_truth,list,Score_mean,Total_Evaluators
sr16k_mono_0057-CP726_1039.57-1051.56.wav_synthesized.wav,False,B,3.333,12
sr16k_mono_0058-CP669_894.479-903.966.wav,True,B,4.75,12
sr16k_mono_0062-CP689_1588.32-1598.83.wav_synthesized.wav,False,B,2.75,12
sr16k_mono_0062-CP710_900.164-911.494.wav,True,B,4.833,12
sr16k_mono_0065-CP619_2584.31-2596.52.wav_synthesized.wav,False,B,3.833,12
sr16k_mono_0065-CP746_1818.31-1827.88.wav,True,B,4.333,12
sr16k_mono_0066-CP707_1215.19-1225.44.wav_synthesized.wav,False,B,4.25,12
sr16k_mono_0069-CP664_1319.48-1329.01.wav,True,B,4.917,12
sr16k_mono_0071-CP623_806.81-815.597.wav_synthesized.wav,False,B,2.333,12
sr16k_mono_0071-CP665_1024.05-1035.37.wav,True,B,4.667,12
sr16k_mono_0075-CP575_837.663-846.505.wav_synthesized.wav,False,B,4.167,12
sr16k_mono_0080-CP551_1318.68-1328.75.wav,True,B,4.5,12
sr16k_mono_0084-CP675_1628.22-1636.69.wav_synthesized.wav,False,B,3.417,12
sr16k_mono_0086-CP664_1551.22-1561.14.wav,True,B,4.667,12
